名称,作者,出版社,出版日期,售价
疼痛部,[荷] 杜布拉夫卡·乌格雷西奇 , 北京日报出版社 , 2023-5 , 54.00元
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯 , 广西师范大学出版社 , 2015-4 , 36.00元
夜晚的潜水艇,陈春成 , 上海三联书店 , 2020-9 , 52.00元
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯 , 河南文艺出版社 , 2022-8 , 48.00元
百年孤独,[哥伦比亚] 加西亚·马尔克斯 , 南海出版公司 , 2011-6 , 39.50元
一句顶一万句,刘震云 , 长江文艺出版社 , 2009-3 , 29.80
三体Ⅱ : 黑暗森林,刘慈欣 , 重庆出版社 , 2008-5 , 32.00
涅朵奇卡 : 一个女人的一生,陀思妥耶夫斯基 , 山东文艺出版社 , 2023-9-1 , 45.00元
人生海海,麦家 , 北京十月文艺出版社 , 2019-4 , 55.00元
卡拉马佐夫兄弟,陀思妥耶夫斯基 (Ф.М.Достоевский) , 上海译文出版社 , 2015-2-1 , CNY 78.00
恶意,[日] 东野圭吾 , 南海出版公司 , 2016-11 , 39.50元
大医·破晓篇,马伯庸 , 上海文艺出版社 , 2022-9 , 108.00元
消失的13级台阶,[日] 高野和明 , 上海文艺出版社 , 2020-5-15 , 42.00元
白夜行,[日] 东野圭吾 , 南海出版公司 , 2013-1-1 , 39.50元
不间断的人,双雪涛 , 上海三联书店 , 2024-2 , 68元
我的天才女友 : 那不勒斯四部曲1,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2017-1 , 42.00元
我该走了吗,[美] 李翊云 , 上海译文出版社 , 2023-11 , 79
房思琪的初恋乐园,林奕含 , 北京联合出版公司 , 2018-2 , 45.00元
树上的男爵,[意大利]伊塔洛·卡尔维诺 , 译林出版社 , 2012-4-1 , 30.00元
命运,蔡崇达 , 浙江文艺出版社、广州出版社 , 2022-9-5 , 59.80元
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯 , 南海出版公司 , 2012-9-1 , 39.50元
遥远的救世主,豆豆 , 作家出版社 , 2005-05-01 , 28.00
东北故事集,迟子建 , 人民文学出版社 , 2024-1-22 , 59.00元
三体Ⅲ : 死神永生,刘慈欣 , 重庆出版社 , 2010-11 , 38.00元
孔雀菩提,焦典 , 新星出版社 , 2023-8 , 49元
杀死一只知更鸟,[美] 哈珀·李 , 译林出版社 , 2017-2 , 58.00
她对此感到厌烦,妚鹤 , 北京联合出版公司 , 2023-4 , 54.80元
追风筝的人,[美] 卡勒德·胡赛尼 , 上海人民出版社 , 2006-5 , 29.00元
圣母,[日] 秋吉理香子 , 新星出版社 , 2019-3 , 42.00
面纱,(英)W.萨默塞特·毛姆 , 重庆出版社 , 2012-05-01 , 32.00元
局外人,(法)阿尔贝·加缪 , 上海译文出版社 , 2013-8 , 32元
失明症漫记 : 百年诞辰纪念版,[葡] 若泽·萨拉马戈 , 河南文艺出版社 , 2022-8-27 , 66
尘埃落定,阿来 , 浙江文艺出版社 , 2020-10 , 49.00元
公开的秘密,[加] 艾丽丝·门罗 , 北京十月文艺出版社 , 2024-1 , 59.00元
你的夏天还好吗？,[韩国] 金爱烂 , 人民文学出版社 , 2022-10-15 , 48.00元
六小时后你会死,[日] 高野和明 , 中国友谊出版公司 , 2024-1 , 59.00元
兄弟,余华 , 作家出版社 , 2012-9-1 , 43.00元
许三观卖血记,余华 , 作家出版社 , 2012-9 , 24.00元
我本芬芳,杨本芬 , 北京联合出版公司 , 2022-2-1 , 39.80
面纱,[英] 威廉·萨默塞特·毛姆 , 江西人民出版社 , 2016-4-1 , 39.8元
动物农场,[英]乔治·奥威尔 , 上海译文出版社 , 2010-9 , 22.00元
道德故事集 : 精装珍藏版,[南非]J.M.库切 , 四川文艺出版社 , 2024-1-18 , 56
沧浪之水,阎真 , 人民文学出版社 , 2001-10 , 26.00元
平面国 : 多维空间传奇往事,[英] 埃德温·A.艾勃特 , 上海文化出版社 , 2020-8 , 39.80元
白鹿原 : 20周年精装典藏版,陈忠实 , 人民文学出版社 , 2012-9 , 39.00元
局外人,[法] 阿尔贝·加缪 , 上海译文出版社 , 2010-8 , 22.00元
平凡的世界,路遥 , 北京十月文艺出版社 , 2012-3-1 , CNY 79.80
希腊棺材之谜,[美] 埃勒里·奎因 , 北京日报出版社 , 2024-1 , 79.90
克莱因壶,[日] 冈岛二人 , 化学工业出版社 , 2019-9 , 48.00元
一日三秋,刘震云 , 花城出版社 , 2021-7 , 58
解忧杂货店,[日] 东野圭吾 , 南海出版公司 , 2014-5 , 39.50元
孤岛的来访者,[日] 方丈贵惠 , 新星出版社 , 2023-4 , 49.00元
食南之徒,马伯庸 , 湖南文艺出版社 , 2024-4-1 , 56.00元
大医·日出篇,马伯庸 , 上海文艺出版社 , 2022-12 , 108.00元
失踪的孩子 : 那不勒斯四部曲4,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2018-7 , 62.00元
女佣异闻 : 乙一出道25周年纪念短篇集,[日] 乙一 , 文汇出版社 , 2024-2 , 49.90
岛屿的厝,龚万莹 , 中信出版集团 , 2024-1-1 , 59
檀香刑,莫言 , 浙江文艺出版社 , 2017-1 , 56.00元
愤怒的葡萄,[美]约翰·斯坦贝克 , 湖南文艺出版社 , 2019-6 , 69.00元
流俗地,【马来西亚】黎紫书 , 北京十月文艺出版社 , 2021-4-1 , 55
克拉拉与太阳,[英] 石黑一雄 , 上海译文出版社 , 2021-3 , 68.00
红楼梦,[清] 曹雪芹 著、高鹗 , 人民文学出版社 , 1996-12 , 59.70元
エレファントヘッド : 象首,白井智之 , KADOKAWA , 2023-9 , JPY 2145
长安十二时辰 上,马伯庸 , 湖南文艺出版社 , 2017-1 , 39.80元
无条件投降博物馆,[荷]杜布拉夫卡·乌格雷西奇 , 云南人民出版社 , 2024-1-1 , 64.00元
纷纷水火,林戈声 , 上海文艺出版社 , 2024-1 , 59.00
罗杰疑案 : 阿加莎·克里斯蒂作品02,[英] 阿加莎·克里斯蒂 , 新星出版社 , 2013-3 , 28.00元
西线无战事,[德] 埃里希·玛丽亚·雷马克 , 上海文艺出版社 , 2021-1 , 49
两京十五日,马伯庸 , 湖南文艺出版社 , 2020-7 , 108.00元
窄门,[法] 安德烈·纪德 , 天津人民出版社 , 2018-10 , 45.00
大明王朝1566,刘和平 , 花城出版社 , 2016-7 , 88.00元
金色梦乡,[日] 伊坂幸太郎 , 南海出版公司 , 2016-11 , 69.00元
新名字的故事 : 那不勒斯四部曲2,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2017-4 , 59.00元
美丽新世界,【英】奥尔德斯·赫胥黎 , 上海译文出版社 , 2017-6 , 45.00元
刀锋,[英]毛姆 , 上海译文出版社 , 2007-3 , 18.00元
龙与地下铁,马伯庸 , 湖南文艺出版社 , 2024-1 , 49.80元
斯通纳,[美] 约翰·威廉斯 , 上海人民出版社 , 2016-1 , 49.00元
隐墙,[奥]玛尔伦·豪斯霍费尔 , 北京联合出版公司 , 2024-3 , 52.00元
永恒的终结 : 关于时间旅行的终极奥秘和恢宏构想,[美] 艾萨克·阿西莫夫 , 江苏凤凰文艺出版社 , 2014-9 , 32.00元
鼠疫,[法] 阿尔贝·加缪 , 上海译文出版社 , 2013-8 , 34.00元
献给名侦探的甜美死亡,[日] 方丈贵惠 , 新星出版社 , 2023-8 , 55.00元
密室狂乱时代的孤岛事件,[日]鸭崎暖炉 , 北京日报出版社 , 2023-10 , 49.80元
我在北京送快递,胡安焉 , 湖南文艺出版社 , 2023-3-24 , 56.00元
佐丽,[美]莱尔德·亨特 , 广西师范大学出版社 , 2024-3 , 49
挽救计划,[美] 安迪·威尔 , 译林出版社 , 2021-9 , 68.00
在小山和小山之间,李停 , 上海文艺出版社 , 2023-5-18 , 45.00
五号屠场,[美] 库尔特·冯内古特 , 河南文艺出版社 , 2022-7-1 , 59.90元
嫌疑人X的献身,[日] 东野圭吾 , 南海出版公司 , 2008-9 , 28.00
挪威的森林,[日] 村上春树 , 上海译文出版社 , 2018-3 , 38.00元
小王子,[法] 圣埃克苏佩里 , 人民文学出版社 , 2003-8 , 22.00元
不存在的骑士,[意] 伊塔洛·卡尔维诺 , 译林出版社 , 2012-4 , 22.00元
小径分岔的花园,[阿根廷] 豪·路·博尔赫斯 , 上海译文出版社 , 2015-7 , 23.00
丰乳肥臀,莫言 , 浙江文艺出版社 , 2017-1 , 49.00
灿烂千阳,[美] 卡勒德·胡赛尼 , 上海人民出版社 , 2007-9 , 28.00元
你当像鸟飞往你的山,塔拉·韦斯特弗 , 南海出版公司 , 2019-10 , 59.00元
登春台,格非 , 译林出版社 , 2024-3 , 68.00
假面游戏,[日] 东野圭吾 , 南海出版公司 , 2024-3-1 , 59.00元
台北人,白先勇 , 广西师范大学出版社 , 2010-10 , 38.00元
孽子,白先勇 , 广西师范大学出版社 , 2010.10 , 46.00元
长安十二时辰 下,马伯庸 , 湖南文艺出版社 , 2017-1-1 , 39.80元
荒原狼,[德] 赫尔曼·黑塞 , 浙江文艺出版社 , 2023-3 , 59.8
离开的，留下的 : 那不勒斯四部曲3,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2017-10 , 62.00元
云边有个小卖部,张嘉佳 , 湖南文艺出版社 , 2018-7 , 42.00元
致海岸线,CK , 浩宇出版社 , 2023-10 , 35元
邻居,[日] 雫井脩介 , 湖南文艺出版社 , 2023-6 , 56.00
麒麟,周游 , 长江文艺出版社 , 2022-7 , 78
第七天,余华 , 新星出版社 , 2018-8 , 39.5
千里江山图,孙甘露 , 上海文艺出版社 , 2022-4-30 , 59.00
这一切纯属偶然！,[日]伊坂幸太郎 , 北京日报出版社 , 2024-1 , 49.9
德米安 : 埃米尔·辛克莱年少时的故事,[德] 赫尔曼·黑塞 , 天津人民出版社 , 2020-5 , 58.00元
恶徒的救赎,[日] 高野和明 , 北京日报出版社 , 2023-4-10 , 49.90元
1984,[英] 乔治·奥威尔 , 北京十月文艺出版社 , 2010-4-1 , 28.00
四世同堂,老舍 , 北京十月文艺出版社 , 2008-07 , 36.00元
燕食记,葛亮 , 人民文学出版社 , 2022-8 , 78
晚熟的人,莫言 , 人民文学出版社 , 2020-8-1 , 59
月亮与六便士,[英] 威廉·萨默塞特·毛姆 , 浙江文艺出版社 , 2017-1-1 , 39.80元
哈利·波特,J.K.罗琳 (J.K.Rowling) , 人民文学出版社 , 2008-12-1 , 498.00元
围城,钱锺书 , 人民文学出版社 , 1991-2-1 , 39.00元
地下室手记,(俄罗斯) 陀思妥耶夫斯基 , 浙江文艺出版社 , 2020-5 , 39.8
骆驼祥子,老舍 , 人民文学出版社 , 1962-10-1 , 12.00元
鹿川有许多粪,李沧东 , 武汉大学出版社 , 2021-8 , 58.00元
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼 , 四川文艺出版社 , 2015-12 , 35.00元
三体全集,刘慈欣 ,刘慈欣 , 读客文化 , 2018-11-26
活着,余华 , 北京十月文艺出版社 , 2017-6-1 , 35.00元
杀死一只知更鸟,[美] 哈珀·李 , 译林出版社 , 2012-9 , 32.00元
沙丘,[美] 弗兰克·赫伯特 , 江苏凤凰文艺出版社 , 2017-2-1 , 68.00元
周四推理俱乐部：活了两次的男人,[英] 理查德·奥斯曼 , 接力出版社 , 2022-12 , 58.00元
酒吧长谈,[秘鲁] 马里奥·巴尔加斯·略萨 , 人民文学出版社 , 2021-3 , 128.00元
一桩事先张扬的凶杀案,[哥伦比亚] 加西亚·马尔克斯 , 南海出版公司 , 2013-6 , 25.00元
在暴雪时分,墨宝非宝 , 江苏凤凰文艺出版社 , 2020-5 , 48.00元
宋慈洗冤笔记,巫童 , 四川文艺出版社 , 2023-10-1 , 58.00
分成两半的子爵,[意] 伊塔洛·卡尔维诺 , 译林出版社 , 2012-4-1 , 20.00元
显微镜下的大明,马伯庸 , 湖南文艺出版社 , 2019-1 , 52.00元
飞翔的孔雀,[日] 山尾悠子 , 新星出版社 , 2023-12 , 56.00元
黄金时代 : 时代三部曲,王小波 , 花城出版社 , 1999-3 , 19.00元
金瓶梅,兰陵笑笑生 ,兰陵笑笑生 , 南洋出版社 , 2016-1
文城,余华 , 北京十月文艺出版社 , 2021-3 , 59.00元
素食者,[韩] 韩江 , 四川文艺出版社 , 2021-9 , 48
她厌男，她是我女友,[韩] 闵智炯 , 中国友谊出版公司 , 2023-5-25 , 48.00元
蝲蛄吟唱的地方,[美] 迪莉娅·欧文斯 , 湖南文艺出版社 , 2019-10 , 58.00元
焦虑的人,弗雷德里克·巴克曼 , 天津人民出版社 , 2021-8 , 49.8
飘,[美国] 玛格丽特·米切尔 , 译林出版社 , 2000-9 , 40.00元
魔术师,[爱尔兰] 科尔姆·托宾 , 上海译文出版社 , 2023-4 , 89.00元
人世间（套装共三册）,梁晓声 , 中国青年出版社 , 2018-1 , 238.00元
仙症,郑执 , 北京日报出版社 , 2020-10 , 58.00元
出生意愿确认,李琴峰 , 广西师范大学出版社 , 2024-1 , 49.00元
晚春情话,韩松落 , 人民文学出版社 , 2024-2-14 , 68
海漄怪奇故事集,海漄 , 新星出版社 , 2024-1 , 56.00元
棋王·树王·孩子王 : 阿城文集 之一,阿城 , 江苏凤凰文艺出版社 , 2016-3-1 , 58.00
当我们不再理解世界,[智利]本哈明·拉巴图特 , 人民文学出版社 , 2022-9-1 , 59.00元
夜奔,苏生 , 广东人民出版社 , 2024-3 , 188
没有人给他写信的上校,[哥伦比亚]加西亚·马尔克斯 , 南海出版公司 , 2018-6 , 35.00元
平原上的摩西,双雪涛 , 北京日报出版社 , 2021-4 , 59
最小的海,叶昕昀 , 新星出版社 , 2023-9 , 49.00元
金锁记,张爱玲 , 哈尔滨出版社 , 2005-6 , 13.5元
未来学大会,[波] 斯坦尼斯瓦夫·莱姆 , 译林出版社 , 2021-8 , 42.00元
百年孤独 : 50周年纪念版,[哥伦比亚] 加西亚·马尔克斯 , 南海出版公司 , 2017-8 , 55.00元
时空旅行者的沙漏,[日] 方丈贵惠 , 新星出版社 , 2021-5 , 48.00
基督山伯爵,[法]大仲马 , 译林出版社 , 2018-10 , 138
一地鸡毛,刘震云 , 长江文艺出版社 , 2011-9-1 , 29.00元
包法利夫人,福楼拜 , 人民文学出版社 , 2003-1-1 , CNY 28.00
七叶树,东坡柚 , 江苏凤凰文艺出版社、江苏文艺出版社 , 2024-3 , 58.00元
失明症漫记,[葡] 若泽·萨拉马戈 , 南海出版公司 , 2014-2 , 29.50元
一生悬命,陆春吾 , 江苏凤凰文艺出版社 , 2023-12-15 , 49.90
蛤蟆先生去看心理医生,[英] 罗伯特·戴博德 , 天津人民出版社 , 2020-8-1 , 38.00元
平乐县志,颜歌 , 上海三联书店 , 2023-10 , 78
笑傲江湖（全四册）,金庸 , 生活·读书·新知三联书店 , 1994-5 , 76.80元
棋王,阿城 , 上海三联书店 , 2019-4 , 48.00元
坦白,[意] 多梅尼科·斯塔尔诺内 , 上海译文出版社 , 2024-1 , 58
寒夜无声,吴忠全 , 湖南文艺出版社 , 2023-11 , 52.00元
失去的过去与未来的犯罪,[日] 小林泰三 , 湖南文艺出版社 , 2024-3 , 49.80
河边的错误,余华 ,余华 , 时代文艺出版社 , 2018-1-1
如雪如山,张天翼 , 人民文学出版社 , 2022-4-1 , 58
无人逝去,[日] 白井智之 , 四川文艺出版社 , 2023-7 , 45.00元
他人,[韩] 姜禾吉 , 台海出版社 , 2023-4 , 48.00元
第七天,余华 , 新星出版社 , 2023-1 , 49
人性的枷锁,[英] 威廉·萨默塞特·毛姆 , 江西人民出版社 , 2016-5 , 68.00元
白夜,陀思妥耶夫斯基 (Ф.М.Достоевский) , 上海译文出版社 , 2015-1 , 48.00元
牧羊少年奇幻之旅,[巴西] 保罗·柯艾略 , 南海出版公司 , 2009-3-1 , 25.00元
马利纳,[奥]英格博格·巴赫曼 , 广西师范大学出版社 , 2024-1 , 65.00元
白鹿原,陈忠实 , 人民文学出版社 , 1997-12 , 28.00元
寂寞的游戏,袁哲生 , 北京联合出版公司 , 2017-9 , 38.00元
破烂回收店,[日] 小林泰三 , 湖南文艺出版社 , 2023-10 , 49.00元
恶行,[德]费迪南德·冯·席拉赫 , 南海出版公司 , 2024-1 , 59.00元
密室黄金时代的杀人事件,[日] 鸭崎暖炉 , 北京日报出版社 , 2023-4 , 49.80
倾城之恋 : 张爱玲全集01——小说,张爱玲 , 北京十月文艺出版社 , 2012-6-1 , 29.80元
神雕侠侣,金庸 , 生活·读书·新知三联书店 , 1994-5 , 76.80元
天龙八部,金庸 , 生活·读书·新知三联书店 , 1994-5 , 96.00元
夏天、烟火和我的尸体,[日] 乙一 , 南海出版公司 , 2019-9 , 45.00
南方高速 : 科塔萨尔短篇小说全集2,[阿根廷] 胡里奥·科塔萨尔 , 南海出版公司 , 2017-10 , 68.00
西游记（全二册）,吴承恩 , 人民文学出版社 , 2004-8 , 47.20元
两度,[法]弗兰克·蒂利耶 , 北京联合出版公司 , 2023-3 , 68.00元
罪与罚,[俄] 陀思妥耶夫斯基 , 译林出版社 , 2021-5 , 68.00元
客乡,[德]燕妮·埃彭贝克 , 北京日报出版社 , 2023-1 , RMB 59.00
黑书,[土] 奥尔罕·帕慕克 , 李佳姗 , 上海人民出版社 , 2024-1
希望庄,[日] 宫部美雪 , 南海出版公司 , 2023-11 , 68.00元
长夜难明 : 紫金陈“推理之王”第3部,紫金陈 , 云南人民出版社 , 2017-1 , 42.00元
岛上书店,[美] 加布瑞埃拉·泽文 , 江苏凤凰文艺出版社 , 2015-5-1 , CNY 35.00
牙医谋杀案 : 阿加莎·克里斯蒂作品52,[英] 阿加莎·克里斯蒂 , 新星出版社 , 2017-3 , 32.00元
82年生的金智英,[韩]赵南柱 , 贵州人民出版社 , 2019-8 , 45.00元
